"categoria","centroide_lat","centroide_lon","fuente","id","nombre","nombre_completo","provincia_id","provincia_interseccion","provincia_nombre"
"Comuna",-26.5650275880602,-64.8166974682851,"IGN","908063","Benjamín Aráoz y El Tajamar","Comuna Benjamín Aráoz y El Tajamar","90",0.0,"Tucumán"
"Municipio",-33.1235893332125,-62.3006086559546,"IGN","140532","General Baldissera","Municipio General Baldissera","14",0.0,"Córdoba"
"Comuna",-31.7968283637742,-63.6502998161586,"IGN","142812","Impira","Comuna Impira","14",0.0,"Córdoba"
"Comuna",-26.9193145794504,-64.7960006339375,"IGN","908112","Las Cejas","Comuna Las Cejas","90",0.0,"Tucumán"
"Municipio",-33.9522414433712,-62.9759295184544,"IGN","140623","La Cesira","Municipio La Cesira","14",0.0,"Córdoba"
"Comuna",-26.5437049908239,-64.6019700401528,"IGN","908042","Garmendia","Comuna Garmendia","90",0.0,"Tucumán"
"Municipio",-27.1804891520878,-65.4729583477812,"IGN","900084","Monteros","Municipio Monteros","90",0.0,"Tucumán"
"Comuna",-26.7456886250955,-64.7179566417696,"IGN","908049","Gobernador Piedrabuena","Comuna Gobernador Piedrabuena","90",0.0,"Tucumán"
"Municipio",-34.0132450114982,-63.9268210537681,"IGN","140616","General Levalle","Municipio General Levalle","14",0.0,"Córdoba"
"Comuna",-31.134641078071,-65.3098829147869,"IGN","142378","Guasapampa","Comuna Guasapampa","14",0.0,"Córdoba"
"Municipio",-33.1620585990918,-59.0967550787686,"IGN","300184","Enrique Carbó","Municipio Enrique Carbó","30",0.0,"Entre Ríos"
"Comisión",-37.9738679915588,-68.9371469809915,"IGN","585014","Aguada San Roque","Comisión Aguada San Roque","58",0.0,"Neuquén"
"Municipio",-36.8599027330076,-69.9371295739397,"IGN","580196","Barrancas","Municipio Barrancas","58",0.0,"Neuquén"
"Municipio",-38.3599912075969,-68.8054456067665,"IGN","580014","Añelo","Municipio Añelo","58",0.0,"Neuquén"
"Comisión",-38.4119393426764,-69.7503175388208,"IGN","585126","Quili Malal","Comisión Quili Malal","58",0.0,"Neuquén"
"Municipio",-38.9485618927944,-68.2773560021318,"IGN","580070","Plottier","Municipio Plottier","58",0.0,"Neuquén"
"Comisión",-38.6166868451883,-69.69164928854,"IGN","585133","Covunco Abajo","Comisión Covunco Abajo","58",0.0,"Neuquén"
"Junta",-32.8041584778779,-59.7560124905455,"IGN","302411","Distrito Sexto","Junta Distrito Sexto","30",0.0,"Entre Ríos"
"Municipio",-37.4280539287636,-68.9053403884952,"IGN","580210","Rincón de los Sauces","Municipio Rincón de los Sauces","58",0.0,"Neuquén"
"Municipio",-37.2422556925228,-69.8212157543304,"IGN","580203","Buta Ranquil","Municipio Buta Ranquil","58",0.0,"Neuquén"
"Municipio",-38.5447244406416,-70.306416622519,"IGN","580231","Las Lajas","Municipio Las Lajas","58",0.0,"Neuquén"
"Municipio",-38.9328385901725,-70.1432085906337,"IGN","580245","Zapala","Municipio Zapala","58",0.0,"Neuquén"
"Municipio",-38.9071357687159,-71.1785013313546,"IGN","580252","Villa Pehuenia","Municipio Villa Pehuenia","58",0.0,"Neuquén"
"Comisión",-40.6716922374758,-71.3996881542153,"IGN","585070","Villa Traful","Comisión Villa Traful","58",0.0,"Neuquén"
"Municipio",-37.8563623456137,-71.0450198739331,"IGN","580168","Caviahue - Copahue","Municipio Caviahue - Copahue","58",0.0,"Neuquén"
"Municipio",-38.9420814031729,-68.103829401365,"IGN","580056","Neuquén","Municipio Neuquén","58",0.0,"Neuquén"
"Municipio",-38.7042256139599,-68.2666896219457,"IGN","580042","Centenario","Municipio Centenario","58",0.0,"Neuquén"
"Municipio",-39.2563688848301,-68.8408718852903,"IGN","580084","Villa El Chocón","Municipio Villa El Chocón","58",0.0,"Neuquén"
"Municipio",-38.9398936598766,-69.2541458274133,"IGN","580049","Cutral Co","Municipio Cutral Co","58",0.0,"Neuquén"
"Municipio",-38.9406582608027,-69.1598555722786,"IGN","580063","Plaza Huincul","Municipio Plaza Huincul","58",0.0,"Neuquén"
"Municipio",-38.2026277127361,-58.0718053725136,"IGN","060280","General Alvarado","Municipio General Alvarado","06",0.0,"Buenos Aires"
"Municipio",-38.4056776856649,-70.0310159232412,"IGN","580224","Bajada del Agrio","Municipio Bajada del Agrio","58",0.0,"Neuquén"
"Comisión",-37.1709436645892,-70.4296686921956,"IGN","585056","Villa Curi Leuvú","Comisión Villa Curi Leuvú","58",0.0,"Neuquén"
"Municipio",-37.3560814630106,-70.2707713376411,"IGN","580098","Chos Malal","Municipio Chos Malal","58",0.0,"Neuquén"
"Comisión",-39.2076088818031,-70.0822342331816,"IGN","585154","Villa Puente Picún Leufú","Comisión Villa Puente Picún Leufú","58",0.0,"Neuquén"
"Comisión",-36.7933760258586,-70.5962736544366,"IGN","585091","Varvarco - Invernada Vieja","Comisión Varvarco - Invernada Vieja","58",0.0,"Neuquén"
"Comisión",-39.6260254162078,-70.8980298318547,"IGN","585028","Pilo Lil","Comisión Pilo Lil","58",0.0,"Neuquén"
"Municipio",-27.7491034495323,-60.8947185609069,"IGN","220308","Coronel Du Graty","Municipio Coronel Du Graty","22",0.0,"Chaco"
"Comisión",-38.8289996373284,-70.1262364173104,"IGN","585140","Los Catutos","Comisión Los Catutos","58",0.0,"Neuquén"
"Municipio",-36.6717775352133,-63.0479735266054,"IGN","060721","Salliqueló","Municipio Salliqueló","06",0.0,"Buenos Aires"
"Municipio",-35.466183010272,-58.389651959253,"IGN","060343","General Paz","Municipio General Paz","06",0.0,"Buenos Aires"
"Municipio",-34.8182447703804,-58.1554615086763,"IGN","060091","Berazategui","Municipio Berazategui","06",0.0,"Buenos Aires"
"Municipio",-27.8539151200485,-61.1222078941922,"IGN","220126","Santa Sylvina","Municipio Santa Sylvina","22",0.0,"Chaco"
"Municipio",-34.8356191132619,-58.3673729329589,"IGN","060028","Almirante Brown","Municipio Almirante Brown","06",0.0,"Buenos Aires"
"Municipio",-27.6198551557064,-61.3289519563851,"IGN","220112","Hermoso Campo","Municipio Hermoso Campo","22",0.0,"Chaco"
"Municipio",-34.6696217964602,-62.0398533933194,"IGN","060351","General Pinto","Municipio General Pinto","06",0.0,"Buenos Aires"
"Municipio",-38.3890731972485,-59.5863264400361,"IGN","060742","San Cayetano","Municipio San Cayetano","06",0.0,"Buenos Aires"
"Municipio",-38.5118142752577,-60.2374173247083,"IGN","060833","Tres Arroyos","Municipio Tres Arroyos","06",0.0,"Buenos Aires"
"Municipio",-38.6708176079735,-61.0955505728699,"IGN","060189","Coronel Dorrego","Municipio Coronel Dorrego","06",0.0,"Buenos Aires"
"Municipio",-38.2554110045679,-59.1673869468897,"IGN","060581","Necochea","Municipio Necochea","06",0.0,"Buenos Aires"
"Municipio",-35.8492083919954,-57.8948443895462,"IGN","060466","Lezama","Municipio Lezama","06",0.0,"Buenos Aires"
"Municipio",-35.6186883086057,-57.9039810685242,"IGN","060218","Chascomús","Municipio Chascomús","06",0.0,"Buenos Aires"
"Municipio",-35.4260558765566,-57.3992340402061,"IGN","060655","Punta Indio","Municipio Punta Indio","06",0.0,"Buenos Aires"
"Municipio",-34.1383889592815,-58.8829573786219,"IGN","060126","Campana","Municipio Campana","06",0.0,"Buenos Aires"
"Municipio",-37.1967620824704,-63.0560551528092,"IGN","060007","Adolfo Alsina","Municipio Adolfo Alsina","06",0.0,"Buenos Aires"
"Municipio",-27.7053948261427,-58.9105019634339,"IGN","220406","Puerto Vilelas","Municipio Puerto Vilelas","22",0.0,"Chaco"
"Comuna",-27.0713461899311,-65.6660164509927,"IGN","908441","Soldado Maldonado","Comuna Soldado Maldonado","90",0.0,"Tucumán"
"Comisión",-22.5922128060613,-65.6031411211675,"IGN","386021","Puesto del Marquez","Comisión Puesto del Marquez","38",0.0,"Jujuy"
"Municipio",-30.974262162703,-64.5043560840515,"IGN","140693","La Cumbre","Municipio La Cumbre","14",0.0,"Córdoba"
"Municipio",-33.4605679567117,-62.433942915908,"IGN","140546","Guatimozín","Municipio Guatimozín","14",0.0,"Córdoba"
"Municipio",-38.0760763207352,-63.0574326099062,"IGN","060651","Puán","Municipio Puán","06",0.0,"Buenos Aires"
"Municipio",-34.7702605184284,-62.9541986992421,"IGN","060392","General Villegas","Municipio General Villegas","06",0.0,"Buenos Aires"
"Municipio",-28.3166968176469,-68.5252932633173,"IGN","460098","Vinchina","Municipio Vinchina","46",0.0,"La Rioja"
"Municipio",-34.9298478405731,-58.3980842106611,"IGN","060648","Presidente Perón","Municipio Presidente Perón","06",0.0,"Buenos Aires"
"Comuna",-45.2957790585196,-69.9689190757892,"IGN","268105","Facundo","Comuna Facundo","26",0.0,"Chubut"
"Municipio",-27.6085245697304,-60.3520137530967,"IGN","220420","Samuhú","Municipio Samuhú","22",0.0,"Chaco"
"Municipio",-27.7976163216196,-60.4529693780671,"IGN","220315","Enrique Urién","Municipio Enrique Urién","22",0.0,"Chaco"
"Junta",-31.5313645518093,-58.7635503252718,"IGN","309945","Lucas Sur Segundo","Junta Lucas Sur Segundo","30",0.0,"Entre Ríos"
"Comisión",-22.443934913097,-65.5409173820932,"IGN","386252","Cangrejillos","Comisión Cangrejillos","38",0.0,"Jujuy"
"Municipio",-22.8431857775554,-66.0320925149678,"IGN","380014","Abra Pampa","Municipio Abra Pampa","38",0.0,"Jujuy"
"Municipio",-35.0038470156373,-58.0177777886065,"IGN","060441","La Plata","Municipio La Plata","06",0.0,"Buenos Aires"
"Municipio",-34.5464751322691,-61.0052501278321,"IGN","060413","Junín","Municipio Junín","06",0.0,"Buenos Aires"
"Municipio",-35.2225197990076,-58.1752339039367,"IGN","060119","Brandsen","Municipio Brandsen","06",0.0,"Buenos Aires"
"Municipio",-35.0369685106341,-60.2819765918318,"IGN","060021","Alberti","Municipio Alberti","06",0.0,"Buenos Aires"
"Municipio",-35.0614122707839,-60.6040466528149,"IGN","060112","Bragado","Municipio Bragado","06",0.0,"Buenos Aires"
"Comuna",-29.1516621451376,-59.8239493225464,"IGN","822847","Nicanor Molinas","Comuna Nicanor Molinas","82",0.0,"Santa Fe"
"Municipio",-30.9830362297075,-64.1282788824923,"IGN","140112","Jesús María","Municipio Jesús María","14",0.0,"Córdoba"
"Municipio",-35.3797449374574,-62.4297895789674,"IGN","060154","Carlos Tejedor","Municipio Carlos Tejedor","06",0.0,"Buenos Aires"
"Municipio",-35.527208971772,-60.2302837885052,"IGN","060854","25 de Mayo","Municipio 25 de Mayo","06",0.0,"Buenos Aires"
"Comuna",-42.517453780872,-68.2827116707789,"IGN","268126","Gan Gan","Comuna Gan Gan","26",0.0,"Chubut"
"Municipio",-36.0567662720747,-62.635079783239,"IGN","060826","Trenque Lauquen","Municipio Trenque Lauquen","06",0.0,"Buenos Aires"
"Comuna",-42.287175612789,-69.2167735510543,"IGN","268035","Gastre","Comuna Gastre","26",0.0,"Chubut"
"Municipio",-34.8312135656244,-58.4769479291391,"IGN","060260","Esteban Echeverría","Municipio Esteban Echeverría","06",0.0,"Buenos Aires"
"Municipio",-26.3190099893669,-60.4546439783309,"IGN","220301","Tres Isletas","Municipio Tres Isletas","22",0.0,"Chaco"
"Municipio",-34.4067977840705,-59.884413320764,"IGN","060161","Carmen de Areco","Municipio Carmen de Areco","06",0.0,"Buenos Aires"
"Municipio",-34.6973213261429,-59.4204811393568,"IGN","060532","Mercedes","Municipio Mercedes","06",0.0,"Buenos Aires"
"Municipio",-34.5992830551805,-58.6495253867325,"IGN","060408","Hurlingham","Municipio Hurlingham","06",0.0,"Buenos Aires"
"Comuna",-45.9334874892864,-71.2821431559325,"IGN","268112","Lago Blanco","Comuna Lago Blanco","26",0.0,"Chubut"
"Municipio",-34.6493861631091,-58.6198317111492,"IGN","060568","Morón","Municipio Morón","06",0.0,"Buenos Aires"
"Municipio",-34.6182002950802,-60.3543081129666,"IGN","060210","Chacabuco","Municipio Chacabuco","06",0.0,"Buenos Aires"
"Municipio",-34.7056418367328,-58.3947105032598,"IGN","060434","Lanús","Municipio Lanús","06",0.0,"Buenos Aires"
"Municipio",-34.4873113444584,-58.712137241603,"IGN","060515","Malvinas Argentinas","Municipio Malvinas Argentinas","06",0.0,"Buenos Aires"
"Municipio",-34.9094243780878,-58.9954466211925,"IGN","060329","General Las Heras","Municipio General Las Heras","06",0.0,"Buenos Aires"
"Municipio",-34.8140029646158,-58.8478312046572,"IGN","060525","Marcos Paz","Municipio Marcos Paz","06",0.0,"Buenos Aires"
"Municipio",-36.4971002162064,-62.8639077725213,"IGN","060847","Tres Lomas","Municipio Tres Lomas","06",0.0,"Buenos Aires"
"Municipio",-34.5527540154453,-58.5643041474744,"IGN","060371","General San Martín","Municipio General San Martín","06",0.0,"Buenos Aires"
"Municipio",-35.0704479695503,-61.6824583851322,"IGN","060469","Lincoln","Municipio Lincoln","06",0.0,"Buenos Aires"
"Municipio",-27.3367482270114,-60.7005904346434,"IGN","220350","San Bernardo","Municipio San Bernardo","22",0.0,"Chaco"
"Municipio",-34.6360716118623,-58.6887595155803,"IGN","060410","Ituzaingó","Municipio Ituzaingó","06",0.0,"Buenos Aires"
"Municipio",-34.6506156900802,-58.9878467982619,"IGN","060364","General Rodríguez","Municipio General Rodríguez","06",0.0,"Buenos Aires"
"Municipio",-34.7485741352292,-59.7033860485774,"IGN","060784","Suipacha","Municipio Suipacha","06",0.0,"Buenos Aires"
"Municipio",-34.5960620390683,-58.5791687873004,"IGN","060840","Tres de Febrero","Municipio Tres de Febrero","06",0.0,"Buenos Aires"
"Municipio",-34.9154873284331,-59.958419488149,"IGN","060224","Chivilcoy","Municipio Chivilcoy","06",0.0,"Buenos Aires"
"Municipio",-34.7549716277843,-58.4240931304426,"IGN","060490","Lomas de Zamora","Municipio Lomas de Zamora","06",0.0,"Buenos Aires"
"Municipio",-28.9078640614298,-58.9110935350202,"IGN","180196","Gobernador Martínez","Municipio Gobernador Martínez","18",0.0,"Corrientes"
"Municipio",-34.9977788912536,-61.0496572343537,"IGN","060385","General Viamonte","Municipio General Viamonte","06",0.0,"Buenos Aires"
"Municipio",-33.885864543958,-61.0624837286828,"IGN","060175","Colón","Municipio Colón","06",0.0,"Buenos Aires"
"Municipio",-37.7706381329585,-62.4343829136668,"IGN","060700","Saavedra","Municipio Saavedra","06",0.0,"Buenos Aires"
"Municipio",-38.9616237886799,-61.2921466954973,"IGN","060553","Monte Hermoso","Municipio Monte Hermoso","06",0.0,"Buenos Aires"
"Municipio",-38.090052818611,-58.6935497786696,"IGN","060476","Lobería","Municipio Lobería","06",0.0,"Buenos Aires"
"Municipio",-34.9093551143988,-57.8283797724826,"IGN","060098","Berisso","Municipio Berisso","06",0.0,"Buenos Aires"
"Municipio",-36.3905151218837,-57.2738116449804,"IGN","060812","Tordillo","Municipio Tordillo","06",0.0,"Buenos Aires"
"Municipio",-34.1558361119161,-58.5345816568901,"IGN","060749","San Fernando","Municipio San Fernando","06",0.0,"Buenos Aires"
"Municipio",-33.9970875495819,-59.1282178761959,"IGN","060882","Zárate","Municipio Zárate","06",0.0,"Buenos Aires"
"Municipio",-33.4829870528588,-60.2931485555259,"IGN","060763","San Nicolás","Municipio San Nicolás","06",0.0,"Buenos Aires"
"Comuna",-43.8915368579323,-68.439661239644,"IGN","268084","Los Altares","Comuna Los Altares","26",0.0,"Chubut"
"Municipio",-25.7484130694872,-59.1208484121174,"IGN","340245","Pirané","Municipio Pirané","34",0.0,"Formosa"
"Municipio",-34.8777448240047,-58.2585548857968,"IGN","060274","Florencio Varela","Municipio Florencio Varela","06",0.0,"Buenos Aires"
"Municipio",-35.0304844816238,-59.4293585541158,"IGN","060574","Navarro","Municipio Navarro","06",0.0,"Buenos Aires"
"Municipio",-35.1448044957897,-58.6910941846835,"IGN","060134","Cañuelas","Municipio Cañuelas","06",0.0,"Buenos Aires"
"Municipio",-24.5713387519093,-65.5497282976315,"IGN","660196","Vaqueros","Municipio Vaqueros","66",0.0,"Salta"
"Comisión",-33.757272199133,-66.6446207562446,"IGN","746252","Beazley","Comisión Beazley","74",0.0,"San Luis"
"Municipio",-27.3795824603487,-59.2976335508473,"IGN","220245","Puerto Tirol","Municipio Puerto Tirol","22",0.0,"Chaco"
"Municipio",-35.0715087168304,-58.4318120603266,"IGN","060778","San Vicente","Municipio San Vicente","06",0.0,"Buenos Aires"
"Municipio",-36.0347106495852,-60.1331531037654,"IGN","060287","General Alvear","Municipio General Alvear","06",0.0,"Buenos Aires"
"Municipio",-34.7349707991152,-58.2768580209942,"IGN","060658","Quilmes","Municipio Quilmes","06",0.0,"Buenos Aires"
"Municipio",-36.2029842240013,-58.3404430507343,"IGN","060630","Pila","Municipio Pila","06",0.0,"Buenos Aires"
"Municipio",-37.3561277769078,-61.3441308948947,"IGN","060322","General La Madrid","Municipio General La Madrid","06",0.0,"Buenos Aires"
"Municipio",-36.298947958292,-61.1498600852288,"IGN","060105","Bolívar","Municipio Bolívar","06",0.0,"Buenos Aires"
"Municipio",-26.8478484649713,-61.0713548620948,"IGN","220133","Corzuela","Municipio Corzuela","22",0.0,"Chaco"
"Municipio",-24.9918396458714,-61.5529901499384,"IGN","220196","Misión Nueva Pompeya","Municipio Misión Nueva Pompeya","22",0.0,"Chaco"
"Municipio",-27.3093128388898,-58.8534296645655,"IGN","220364","Colonia Benítez","Municipio Colonia Benítez","22",0.0,"Chaco"
"Municipio",-31.2643303818445,-58.112785151113,"IGN","300056","La Criolla","Municipio La Criolla","30",0.0,"Entre Ríos"
"Municipio",-37.7146198082256,-58.2717475616573,"IGN","060063","Balcarce","Municipio Balcarce","06",0.0,"Buenos Aires"
"Municipio",-36.2591890205933,-61.6601876260417,"IGN","060406","Hipólito Yrigoyen","Municipio Hipólito Yrigoyen","06",0.0,"Buenos Aires"
"Municipio",-26.9245048009317,-59.407007547917,"IGN","220441","Colonia Elisa","Municipio Colonia Elisa","22",0.0,"Chaco"
"Municipio",-36.7859352165956,-59.6964783376236,"IGN","060049","Azul","Municipio Azul","06",0.0,"Buenos Aires"
